z_column,releases,R_DIS_all
ALL,2017-12-25 11:00:00,443.0377681459308
ALL,2017-12-25 12:00:00,417.22540147027576
ALL,2017-12-25 13:00:00,416.5122529620929
ALL,2017-12-25 14:00:00,394.79973640534
ALL,2017-12-25 15:00:00,418.67467566462426
ALL,2017-12-25 16:00:00,366.48337650139314
ALL,2017-12-25 17:00:00,321.0977217415744
ALL,2017-12-25 18:00:00,291.88322030284735
ALL,2017-12-25 19:00:00,300.02253159904626
ALL,2017-12-25 20:00:00,304.08342752660224
ALL,2017-12-25 21:00:00,338.9642758291907
ALL,2017-12-25 22:00:00,375.0052903282893
ALL,2017-12-25 23:00:00,378.7449190399475
ALL,2017-12-26 00:00:00,349.307687913656
ALL,2017-12-26 01:00:00,367.88637077828923
ALL,2017-12-26 02:00:00,406.98282213201054
ALL,2017-12-26 03:00:00,422.5824388452706
ALL,2017-12-26 04:00:00,400.2446359235498
ALL,2017-12-26 05:00:00,385.02321952885023
ALL,2017-12-26 06:00:00,348.93417860834035
ALL,2017-12-26 07:00:00,337.0378098531338
ALL,2017-12-26 08:00:00,346.3433239295317
ALL,2017-12-26 09:00:00,332.5796766368494
ALL,2017-12-26 10:00:00,338.8650721086947
ALL,2017-12-26 11:00:00,347.3797021976691
ALL,2017-12-26 12:00:00,330.4511574552729
ALL,2017-12-26 13:00:00,293.0472073250977
ALL,2017-12-26 14:00:00,247.8196538135502
ALL,2017-12-26 15:00:00,253.8810313336197
ALL,2017-12-26 16:00:00,262.93411829334406
ALL,2017-12-26 17:00:00,246.9790308016934
ALL,2017-12-26 18:00:00,249.4517619640793
ALL,2017-12-26 19:00:00,240.99691880011375
ALL,2017-12-26 20:00:00,279.80588319736637
ALL,2017-12-26 21:00:00,272.7052534518505
ALL,2017-12-26 22:00:00,253.2980339182195
ALL,2017-12-26 23:00:00,253.2348548024542
ALL,2017-12-27 00:00:00,285.11335173422407
ALL,2017-12-27 01:00:00,305.8002495425347
ALL,2017-12-27 02:00:00,299.03265919370784
ALL,2017-12-27 03:00:00,312.0848448081324
